Question ID,Category,Question,Vendor Response,Reason for Question,Follow-Up Inquiry
GNRL-01,General Information,What is the name of the service/system?,SuperCloud ERP,Establish system identity and scope,N/A
IAM-01,Access Control,Is MFA enabled for non-administrative accounts?,"Yes, MFA is enabled using authenticator app-based OTPs. SMS MFA is not used.",Verify account security and unauthorised access protection,What MFA technology is used and is enforcement documented?
ENC-01,Data Protection,Is encryption key rotation implemented?,"Yes, encryption keys rotate every 90 days under a documented key management policy.",Validate cryptographic governance and key lifecycle management,Are there approved exceptions to key rotation?
DR-01,Business Continuity,What is the Recovery Time Objective (RTO) for critical systems?,Critical systems must be restored within 4 hours.,Assess resilience and business continuity capability,Is RTO tested during disaster recovery exercises?
DR-02,Business Continuity,Are disaster recovery tests conducted?,"Yes, disaster recovery testing occurs annually and after major infrastructure changes.",Validate recovery preparedness,Provide results of recent recovery tests.
LOG-01,Monitoring & Logging,What is the log retention period?,Logs are retained for 12 months and reviewed regularly by IT security teams.,"Support incident response, auditing and forensic analysis",Are logs centrally monitored?
SIEM-01,Monitoring & Logging,Is a SIEM platform implemented?,Microsoft Sentinel is planned within the next 12 months but is not yet operational.,Evaluate monitoring maturity,What interim monitoring controls exist?
PRIV-01,Privacy & Compliance,Where is organisational/customer data stored?,Sensitive data is stored in Australia and Singapore with encryption at rest and in transit.,"Assess privacy, residency and compliance obligations",Are cross-border transfer obligations documented?
VEND-01,Vendor Risk,Are third-party vendors involved?,"AWS, Azure, Cloudflare and SendGrid are used and assessed through contracts and security reviews.",Assess supply-chain and vendor risk,How are vendors reassessed periodically?
TRAIN-01,Vendor Risk,Is cybersecurity awareness training provided?,Mandatory onboarding and annual refresher cybersecurity training are conducted.,Reduce employee-related security risk,Are completion records maintained?
AUD-01,Vendor Risk,Are security audits conducted?,Internal audits occur annually and external audits every two years.,Validate control effectiveness,Are remediation findings tracked?
PIA-01,Privacy & Compliance,Has a Privacy Impact Assessment been conducted?,"Yes, PIAs are completed for high-risk systems involving sensitive information.",Assess privacy governance and regulatory compliance,Can recent PIA evidence be reviewed?
